catcher,name,shadow_pitches,delta,delta_lo,delta_hi,runs,runs_lo,runs_hi,p_positive
624431,"Trevino, Jose",1827,0.087501,0.064249,0.112093,19.982959,14.672791,25.599203,1.000000
641680,"Heim, Jonah",1846,0.075948,0.051714,0.101572,17.525064,11.933098,23.437786,1.000000
553882,"Narváez, Omar",1906,0.062628,0.035693,0.086231,14.921099,8.503849,20.544419,1.000000
621512,"Nido, Tomás",1220,0.060404,0.031494,0.086781,9.211637,4.802851,13.234076,1.000000
518735,"Grandal, Yasmani",1355,0.052325,0.024357,0.079385,8.862529,4.125534,13.445917,1.000000
661531,"Serven, Brian",570,0.051192,0.015385,0.088516,3.647411,1.096190,6.306793,0.997000
547172,,77,0.050739,-0.016916,0.115049,0.488367,-0.162818,1.107346,0.934000
669087,,254,0.047895,-0.001198,0.095965,1.520680,-0.038047,3.046889,0.968000
669221,"Murphy, Sean",2334,0.047301,0.026215,0.070109,13.800141,7.648313,20.454259,1.000000
668939,"Rutschman, Adley",879,0.047192,0.016278,0.079135,5.185267,1.788506,8.694922,0.999000
663728,"Raleigh, Cal",1389,0.046180,0.018163,0.072480,8.017931,3.153521,12.584290,1.000000
572287,"Zunino, Mike",1297,0.044180,0.018386,0.070691,7.162759,2.980891,11.460704,0.999000
650619,,197,0.043948,-0.006543,0.096554,1.082223,-0.161124,2.377646,0.957000
543309,"Higashioka, Kyle",1316,0.042580,0.015277,0.071872,7.004430,2.513050,11.822980,0.999000
547379,"Pérez, Roberto",600,0.041895,0.004998,0.079948,3.142133,0.374842,5.996107,0.986000
518595,"d'Arnaud, Travis",1648,0.041015,0.015891,0.067305,8.449126,3.273465,13.864853,0.999000
641598,"Garver, Mitch",709,0.038289,0.005155,0.071389,3.393403,0.456857,6.326818,0.990000
444489,"Piña, Manny",569,0.035127,-0.001522,0.072486,2.498416,-0.108288,5.155589,0.967000
457763,"Posey, Buster",955,0.033522,0.003519,0.063010,4.001677,0.420060,7.521856,0.987000
669134,"Campusano, Luis",233,0.032019,-0.016168,0.077399,0.932543,-0.470886,2.254255,0.905000
605244,"Garcia, Aramis",649,0.030637,-0.002035,0.063865,2.485458,-0.165061,5.181049,0.964000
605131,"Barnes, Austin",1032,0.029785,0.001536,0.061382,3.842284,0.198116,7.918333,0.979000
664874,"Zavala, Seby",774,0.029513,-0.003495,0.062827,2.855363,-0.338134,6.078531,0.963000
624512,"McGuire, Reese",1420,0.028949,0.003823,0.052955,5.138530,0.678506,9.399511,0.993000
641511,"Delay, Jason",525,0.028721,-0.009335,0.065421,1.884810,-0.612630,4.293261,0.929000
672386,"Kirk, Alejandro",1114,0.028588,0.000371,0.059150,3.980810,0.051711,8.236587,0.976000
545358,"Stassi, Max",1774,0.027442,0.003229,0.049501,6.085325,0.716102,10.976802,0.989000
455117,"Maldonado, Martín",2376,0.026747,0.003286,0.051234,7.943952,0.976057,15.216546,0.989000
668721,,170,0.026617,-0.027286,0.074947,0.565619,-0.579821,1.592619,0.868000
425877,"Molina, Yadier",2046,0.025849,0.001578,0.051316,6.610805,0.403635,13.124159,0.985000
607345,,284,0.025273,-0.021162,0.066819,0.897179,-0.751259,2.372068,0.874000
543510,"McCann, James",1410,0.024843,-0.000485,0.052642,4.378568,-0.085412,9.278122,0.973000
595956,"Gallagher, Cam",554,0.024779,-0.013373,0.061946,1.715923,-0.926058,4.289762,0.914000
671056,,64,0.023939,-0.042161,0.086043,0.191516,-0.337289,0.688341,0.768000
668663,,496,0.023781,-0.014450,0.060825,1.474437,-0.895919,3.771163,0.889000
607732,"Stallings, Jacob",2130,0.023422,0.001394,0.045757,6.236108,0.371187,12.182717,0.981000
680777,"Jeffers, Ryan",1312,0.022260,-0.004264,0.048986,3.650643,-0.699217,8.033639,0.943000
543877,"Vázquez, Christian",2340,0.022162,-0.000639,0.045075,6.482446,-0.186846,13.184470,0.969000
623168,"Heineman, Tyler",529,0.020538,-0.014471,0.055836,1.358057,-0.956897,3.692128,0.868000
664850,,376,0.020001,-0.021024,0.058717,0.940025,-0.988145,2.759716,0.824000
644433,,39,0.019270,-0.044784,0.084279,0.093942,-0.218320,0.410859,0.712000
666163,,318,0.019228,-0.023533,0.062887,0.764310,-0.935431,2.499750,0.801000
543089,,29,0.018733,-0.051219,0.092284,0.067908,-0.185669,0.334528,0.704000
643348,,51,0.018539,-0.046355,0.083174,0.118183,-0.295514,0.530232,0.716000
519390,"Vogt, Stephen",765,0.018457,-0.013168,0.049673,1.764911,-1.259143,4.749963,0.885000
571466,"Barnhart, Tucker",2030,0.017166,-0.004638,0.039244,4.355748,-1.176774,9.958067,0.936000
595978,"Hedges, Austin",1763,0.016999,-0.007535,0.044219,3.746221,-1.660480,9.744754,0.899000
669257,"Smith, Will",2181,0.016056,-0.007648,0.039218,4.377297,-2.084934,10.691874,0.914000
592663,"Realmuto, J.T.",2649,0.014964,-0.008706,0.037127,4.955086,-2.882711,12.293565,0.901000
606213,,5,0.011520,-0.066347,0.084700,0.007200,-0.041467,0.052937,0.628000
605170,"Caratini, Victor",1955,0.011317,-0.012050,0.035174,2.765686,-2.944730,8.595711,0.823000
621532,,279,0.011102,-0.033889,0.057751,0.387166,-1.181893,2.014077,0.687000
595751,"Alfaro, Jorge",1231,0.010819,-0.015869,0.038122,1.664699,-2.441781,5.866058,0.779000
595453,"Wallach, Chad",265,0.009235,-0.036204,0.053486,0.305898,-1.199260,1.771712,0.649000
542963,,57,0.008286,-0.052393,0.073154,0.059039,-0.373302,0.521223,0.593000
543592,"Nola, Austin",1525,0.007434,-0.017960,0.033834,1.417098,-3.423552,6.449698,0.700000
593590,,220,0.007095,-0.041568,0.056827,0.195116,-1.143120,1.562752,0.603000
624513,"Nuñez, Dom",936,0.006408,-0.025232,0.038441,0.749720,-2.952133,4.497569,0.646000
645305,,11,0.005246,-0.066683,0.077004,0.007213,-0.091690,0.105880,0.543000
665861,,251,0.004999,-0.040791,0.048998,0.156832,-1.279817,1.537318,0.600000
663886,"Stephenson, Tyler",1190,0.004251,-0.023177,0.033685,0.632404,-3.447651,5.010606,0.600000
672515,"Moreno, Gabriel",172,0.004182,-0.050676,0.056833,0.089920,-1.089534,1.221913,0.561000
608700,"Plawecki, Kevin",944,0.003995,-0.025487,0.035436,0.471377,-3.007456,4.181426,0.603000
656494,,2,0.003499,-0.070101,0.082368,0.000875,-0.017525,0.020592,0.525000
668670,"Rogers, Jake",348,0.003492,-0.039061,0.045444,0.151884,-1.699145,1.976796,0.570000
543228,"Gomes, Yan",1728,0.003400,-0.020203,0.026165,0.734398,-4.363786,5.651598,0.611000
425772,,35,0.002348,-0.072449,0.074168,0.010273,-0.316963,0.324484,0.526000
608596,"Murphy, Tom",951,0.001997,-0.028801,0.031609,0.237371,-3.423741,3.757545,0.549000
662139,"Varsho, Daulton",650,0.001808,-0.033646,0.037342,0.146916,-2.733703,3.034055,0.532000
666128,,16,0.001619,-0.073509,0.070424,0.003237,-0.147019,0.140848,0.547000
608360,,49,0.001354,-0.062747,0.070892,0.008296,-0.384323,0.434214,0.509000
641929,,2,0.000915,-0.068575,0.065104,0.000229,-0.017144,0.016276,0.517000
656883,,1,0.000580,-0.077814,0.069821,0.000072,-0.009727,0.008728,0.533000
667674,,1,-0.000343,-0.075004,0.063206,-0.000043,-0.009375,0.007901,0.528000
665066,,1,-0.001059,-0.077880,0.086812,-0.000132,-0.009735,0.010851,0.481000
