catcher,called_pitches,extra_strikes_model,catcher_effect,framing_runs_model,name
624431,15799,320.744327,0.397725,40.093041,"Trevino, Jose"
641680,20171,299.482980,0.291572,37.435373,"Heim, Jonah"
595978,16629,246.315456,0.283804,30.789432,"Hedges, Austin"
663728,17356,218.282151,0.248749,27.285269,"Raleigh, Cal"
669221,22284,214.551766,0.188286,26.818971,"Murphy, Sean"
668939,13161,169.866113,0.255725,21.233264,"Rutschman, Adley"
518595,14915,163.776629,0.211615,20.472079,"d'Arnaud, Travis"
621512,10173,146.082240,0.292743,18.260280,"Nido, Tomás"
518735,15369,145.770458,0.191032,18.221307,"Grandal, Yasmani"
543309,14021,143.199229,0.202514,17.899904,"Higashioka, Kyle"
672275,6038,136.815593,0.434150,17.101949,"Bailey, Patrick"
543877,21962,132.685077,0.118330,16.585635,"Vázquez, Christian"
672386,13765,132.189274,0.190111,16.523659,"Kirk, Alejandro"
664874,9861,130.217215,0.277064,16.277152,"Zavala, Seby"
572287,11300,127.676307,0.220150,15.959538,"Zunino, Mike"
545358,12243,124.600537,0.201754,15.575067,"Stassi, Max"
682626,7518,108.118934,0.294358,13.514867,"Alvarez, Francisco"
553882,16484,103.243654,0.126230,12.905457,"Narváez, Omar"
425877,13460,94.623987,0.131626,11.827998,"Molina, Yadier"
571466,15973,90.000050,0.109309,11.250006,"Barnhart, Tucker"
624512,13254,89.171642,0.135075,11.146455,"McGuire, Reese"
595956,6769,88.113133,0.243677,11.014142,"Gallagher, Cam"
641511,7586,80.710517,0.209783,10.088815,"Delay, Jason"
605131,10110,79.281369,0.145998,9.910171,"Barnes, Austin"
669257,22211,77.087840,0.067538,9.635980,"Smith, Will"
661531,4366,75.337832,0.336988,9.417229,"Serven, Brian"
668670,8992,65.009034,0.141601,8.126129,"Rogers, Jake"
663743,10373,61.703438,0.116757,7.712930,"Fortes, Nick"
607732,19402,55.378569,0.055687,6.922321,"Stallings, Jacob"
605170,16654,44.525331,0.050615,5.565666,"Caratini, Victor"
543510,13951,43.012352,0.062242,5.376544,"McCann, James"
623168,4552,38.683059,0.167010,4.835382,"Heineman, Tyler"
547379,4507,37.639144,0.165843,4.704893,"Pérez, Roberto"
666310,4236,33.288605,0.149923,4.161076,"Naylor, Bo"
608700,6156,30.616888,0.092742,3.827111,"Plawecki, Kevin"
650907,3498,29.484938,0.161890,3.685617,
605244,4499,28.490252,0.125155,3.561281,"Garcia, Aramis"
666163,3792,28.385769,0.153285,3.548221,
641598,6499,23.290916,0.069492,2.911364,"Garver, Mitch"
666165,3212,22.723572,0.138252,2.840447,"Sabol, Blake"
665804,2391,20.520713,0.171816,2.565089,"Amaya, Miguel"
666023,4288,20.084947,0.093808,2.510618,"Fermin, Freddy"
506702,5904,19.774712,0.063053,2.471839,"León, Sandy"
668663,3274,19.765205,0.114882,2.470651,
624513,5844,19.675598,0.061763,2.459450,"Nuñez, Dom"
595751,8469,18.701868,0.042012,2.337733,"Alfaro, Jorge"
457763,6801,18.201131,0.052113,2.275141,"Posey, Buster"
542194,9163,17.179143,0.036579,2.147393,"Bethancourt, Christian"
642851,9623,15.708662,0.031394,1.963583,"Wynns, Austin"
595453,5220,15.518606,0.062697,1.939826,"Wallach, Chad"
592663,26185,15.120396,0.010966,1.890049,"Realmuto, J.T."
680777,13749,14.322770,0.020180,1.790346,"Jeffers, Ryan"
621532,1988,13.157744,0.119465,1.644718,
444489,4101,10.770520,0.051939,1.346315,"Piña, Manny"
664850,2722,9.963090,0.074801,1.245386,
607345,1883,9.747775,0.098886,1.218472,
661388,15058,9.415086,0.012180,1.176886,"Contreras, William"
669134,3940,8.706660,0.041290,1.088333,"Campusano, Luis"
668721,1068,8.614456,0.154473,1.076807,
650619,1488,7.987092,0.105352,0.998386,
547172,540,7.237220,0.242294,0.904653,
669087,2151,5.162311,0.048703,0.645289,
643348,467,4.861024,0.197985,0.607628,
