strength,estimator,bias,rmse,coverage,coverage_extreme,coverage_central,rank_spearman,ci_width,n_reps
0.000000,hierarchical,0.000010,0.020212,0.940667,0.872000,0.975000,0.701526,0.079797,50
0.000000,residual_runs,0.000760,0.032296,0.784667,0.816000,0.769000,0.646692,0.081525,50
0.250000,hierarchical,-0.000029,0.020668,0.944667,0.898000,0.968000,0.687706,0.081883,50
0.250000,residual_runs,0.000625,0.032926,0.776000,0.808000,0.760000,0.639368,0.081525,50
0.500000,hierarchical,-0.000042,0.022498,0.928000,0.890000,0.947000,0.652120,0.085139,50
0.500000,residual_runs,0.000660,0.035402,0.738000,0.764000,0.725000,0.609495,0.081525,50
1.000000,hierarchical,-0.000092,0.030106,0.877333,0.856000,0.888000,0.555622,0.094763,50
1.000000,residual_runs,0.001148,0.043459,0.642000,0.648000,0.639000,0.532458,0.081525,50
2.000000,hierarchical,0.000054,0.056093,0.662000,0.660000,0.663000,0.387177,0.111223,50
2.000000,residual_runs,0.001440,0.066982,0.436667,0.408000,0.451000,0.377895,0.081525,50
