scenario,estimator,bias,rmse,coverage,coverage_extreme,coverage_central,rank_spearman,ci_width,divergences,n_reps
baseline,hierarchical,-0.000046,0.017279,0.946667,0.890000,0.975000,0.806011,0.069308,0.000000,100
baseline,residual_runs,0.002156,0.023122,0.920333,0.924000,0.918500,0.804930,0.081527,0.000000,100
battery,hierarchical,-0.000005,0.020638,0.940000,0.874000,0.973000,0.714581,0.081114,0.000000,100
battery,residual_runs,0.003210,0.033240,0.784000,0.809000,0.771500,0.665771,0.081526,0.000000,100
heavy_tail,hierarchical,-0.000050,0.016307,0.943667,0.878000,0.976500,0.692151,0.065369,0.000000,100
heavy_tail,residual_runs,0.001558,0.023394,0.915000,0.910000,0.917500,0.688899,0.081526,0.000000,100
location_mix,hierarchical,-0.000067,0.020905,0.945333,0.879000,0.978500,0.707190,0.082105,0.020000,100
location_mix,residual_runs,0.002759,0.033609,0.775000,0.790000,0.767500,0.653633,0.081335,0.000000,100
location_shared,hierarchical,-0.000026,0.017237,0.955000,0.907000,0.979000,0.802790,0.070014,0.000000,100
location_shared,residual_runs,0.002478,0.023627,0.907000,0.898000,0.911500,0.802011,0.081527,0.000000,100
omitted_covariate,hierarchical,-0.000013,0.022439,0.929000,0.878000,0.954500,0.647568,0.084038,0.000000,100
omitted_covariate,residual_runs,0.002390,0.035630,0.739667,0.762000,0.728500,0.607920,0.081526,0.000000,100
umpire_confound,hierarchical,-0.000003,0.016928,0.955667,0.914000,0.976500,0.805838,0.070232,0.000000,100
umpire_confound,residual_runs,0.012117,0.029096,0.829000,0.826000,0.830500,0.759809,0.081524,0.000000,100
unequal,hierarchical,-0.000049,0.020904,0.947667,0.889000,0.977000,0.699568,0.080882,0.000000,100
unequal,residual_runs,0.001182,0.040180,0.917333,0.927000,0.912500,0.640779,0.129388,0.000000,100
